Designator,Mid X,Mid Y,Rotation,Layer
C1,98.19,-133.356667,180.0,top
C10,101.17,-118.85,90.0,top
C11,86.23,-120.62,90.0,top
C12,85.52,-117.83,180.0,top
C13,85.49,-115.8,180.0,top
C14,97.1,-124.025,90.0,top
C15,79.139726,-151.542678,0.0,top
C16,99.136155,-151.595178,0.0,top
C17,119.132583,-151.595178,0.0,top
C18,139.129012,-151.595178,0.0,top
C19,159.12544,-151.595178,0.0,top
C2,98.19,-131.353333,180.0,top
C20,179.121869,-151.595178,0.0,top
C21,199.118297,-151.595178,0.0,top
C22,219.114726,-151.595178,0.0,top
C23,239.111155,-151.595178,0.0,top
C24,259.107583,-151.595178,0.0,top
C25,279.104012,-151.595178,0.0,top
C26,299.10044,-151.595178,0.0,top
C27,319.096869,-151.595178,0.0,top
C28,339.093297,-151.595178,0.0,top
C29,359.089726,-151.992678,0.0,top
C3,98.225,-135.36,180.0,top
C30,119.08,-139.2,0.0,top
C31,138.86,-139.2,0.0,top
C32,178.825626,-139.203,0.0,top
C33,198.959726,-139.17,0.0,top
C34,218.889726,-139.4,0.0,top
C35,258.989726,-138.778033,0.0,top
C36,279.139726,-138.778033,0.0,top
C37,319.059016,-138.769016,0.0,top
C38,339.039726,-138.778033,0.0,top
C39,362.75,-141.75,270.0,top
C4,84.65,-130.86,0.0,top
C40,358.05,-149.3,180.0,top
C41,101.1,-134.35,270.0,top
C5,84.627323,-132.828044,0.0,top
C6,84.657323,-126.930109,0.0,top
C7,84.657323,-128.898044,0.0,top
C8,98.17,-127.32,180.0,top
C9,98.19,-129.35,180.0,top
D1,90.75,-124.0,0.0,top
D10,159.139726,-159.242678,0.0,top
D11,179.139726,-159.242678,0.0,top
D12,199.139726,-159.242678,0.0,top
D13,219.139726,-159.242678,0.0,top
D14,239.139726,-159.242678,0.0,top
D15,259.139726,-159.242678,0.0,top
D16,279.139726,-159.242678,0.0,top
D17,299.139726,-159.242678,0.0,top
D18,319.139726,-159.242678,0.0,top
D19,339.139726,-159.242678,0.0,top
D20,359.139726,-159.242678,0.0,top
D21,119.039726,-144.678033,0.0,top
D22,138.939726,-144.678033,0.0,top
D23,178.875626,-144.681033,0.0,top
D24,199.039726,-144.678033,0.0,top
D25,218.939726,-144.678033,0.0,top
D26,259.039726,-144.578033,0.0,top
D27,279.039726,-144.578033,0.0,top
D28,318.959016,-144.669016,0.0,top
D29,339.039726,-144.678033,0.0,top
D3,71.6,-136.2,0.0,top
D30,359.339726,-144.678033,0.0,top
D33,71.6,-144.5,0.0,top
D4,71.6,-138.8,0.0,top
D5,71.6,-141.1,0.0,top
D6,79.139726,-159.242678,0.0,top
D7,99.139726,-159.242678,0.0,top
D8,119.139726,-159.242678,0.0,top
D9,139.139726,-159.242678,0.0,top
J1,92.629727,-117.402323,180.0,top
J3,369.05,-154.36,0.0,top
J4,65.44,-147.51,0.0,top
J5,76.0,-132.61,0.0,top
J6,367.49,-145.9925,0.0,top
MOUSE-BITE-2MM-SLOT-1,89.034916,-147.0,0.0,top
MOUSE-BITE-2MM-SLOT-2,129.0,-147.0,0.0,top
MOUSE-BITE-2MM-SLOT-3,229.0,-147.0,0.0,top
MOUSE-BITE-2MM-SLOT-4,249.0,-147.0,0.0,top
MOUSE-BITE-2MM-SLOT-5,349.0,-147.0,0.0,top
R1,99.039727,-120.219823,90.0,top
R10,85.6875,-140.98,180.0,top
R11,82.3125,-137.9,180.0,top
R12,85.71,-144.89,180.0,top
R13,85.7075,-142.9,180.0,top
R14,90.38,-144.1875,270.0,top
R15,88.4675,-144.1675,270.0,top
R16,94.2975,-144.1975,270.0,top
R17,92.3775,-144.1925,270.0,top
R18,97.195,-143.1825,0.0,top
R19,97.2125,-145.1,0.0,top
R2,99.027227,-116.819823,90.0,top
R20,97.2,-139.3025,0.0,top
R21,97.215,-141.2625,0.0,top
R22,84.622146,-134.772066,0.0,top
R23,97.235,-137.2925,0.0,top
R24,354.7375,-151.91,180.0,top
R25,103.1,-134.3375,270.0,top
R27,79.16,-138.0975,270.0,top
R3,75.7225,-118.02,180.0,top
R4,79.7725,-121.55,0.0,top
R5,79.185,-134.4925,270.0,top
R6,79.4875,-128.2,180.0,top
R7,79.1975,-130.8875,270.0,top
R8,85.72,-137.18,180.0,top
R9,85.7,-139.09,180.0,top
SW1,69.65,-119.45,270.0,top
SW2,69.65,-129.15,270.0,top
U1,91.439727,-130.75,0.0,top
U10,219.039726,-154.442678,0.0,top
U11,239.039726,-154.442678,0.0,top
U12,259.039726,-154.442678,0.0,top
U13,279.039726,-154.442678,0.0,top
U14,299.039726,-154.442678,0.0,top
U15,319.039726,-154.442678,0.0,top
U16,338.839726,-154.442678,0.0,top
U17,359.039726,-154.442678,0.0,top
U18,119.059726,-141.743033,0.0,top
U19,138.959726,-141.743033,0.0,top
U2,102.87,-124.19,180.0,top
U20,178.815626,-141.746033,0.0,top
U21,199.049726,-141.743033,0.0,top
U22,218.879726,-141.743033,0.0,top
U23,258.989726,-141.743033,0.0,top
U24,279.069726,-141.743033,0.0,top
U25,318.989016,-141.734016,0.0,top
U26,338.959726,-141.743033,0.0,top
U27,359.259726,-141.743033,0.0,top
U28,95.1,-125.0,0.0,top
U29,91.3025,-139.275,0.0,top
U3,79.139726,-154.442678,0.0,top
U30,349.03,-154.35,270.0,top
U31,104.98,-141.7,0.0,top
U4,99.082583,-154.442678,0.0,top
U5,119.039726,-154.442678,0.0,top
U6,139.139726,-154.442678,0.0,top
U7,159.039726,-154.442678,0.0,top
U8,179.039726,-154.442678,0.0,top
U9,198.939726,-154.442678,0.0,top
